coord_x,coord_y,mclust
1148.286337,-732.8182324,1
1149.802418,-712.7057996,1
1154.1297869999999,-760.7023374,1
1162.170546,-822.5099287,15
1173.65091,-690.0584746000001,1
1178.5823679999999,-817.2706555999999,15
1183.429881,-857.357307,15
1186.7972029999999,-715.448899,12
1197.086393,-859.5531533,15
1201.823201,-751.8846466,1
1207.537977,-697.0532382,12
1206.5211140000001,-866.0919309000001,15
1212.945162,-695.0026369,12
1216.494114,-736.2777123999999,1
1218.043251,-803.8831741,15
1228.019757,-750.7277457,1
1234.63408,-784.9366183,15
1234.6387869999999,-795.9025012,15
1238.8392279999998,-751.7435297000001,1
1242.578447,-697.4690363,12
1253.707047,-818.4674292000001,15
1247.927361,-711.032235,1
1250.8057310000002,-808.3413742,15
1251.868657,-801.7325261,15
1254.6798939999999,-746.4339561,1
1258.257065,-855.3538677000001,15
1259.359712,-863.4586081,15
1262.432146,-851.9749224999999,15
1259.4730240000001,-763.9486638,1
1266.833429,-688.0111682,1
1328.638575,-728.2301337,6
1329.239267,-748.546413,1
1151.9051550000001,-850.7225595000001,15
1203.5050130000002,-687.1369949,12
1210.870125,-800.3036359,15
1245.229438,-842.5300114,15
1268.81003,-855.0149552999999,15
1306.5708539999998,-714.9869982999999,6
1167.4645,-753.97457,1
1170.953042,-754.8360165,1
1153.875145,-719.0216761,1
1286.735055,-772.5597867,1
1299.556096,-774.6348737000001,1
1164.4901730000001,-858.0837805,15
1171.140784,-841.0001523,15
1168.798769,-861.4118233999999,15
1185.200217,-829.4589009,15
1240.218572,-791.8116556,15
1244.241221,-812.7663075,15
1255.999916,-804.5680209,15
1270.651613,-765.6887284,1
1274.389532,-732.7015027000001,1
1279.103347,-766.9740391,1
1294.056957,-735.3500109,1
1297.9845890000001,-720.1459633,1
1172.6943509999999,-822.1262738,15
1165.785054,-591.1464822,6
1168.042534,-514.7108429,6
1173.272894,-494.7978612,6
1177.341151,-589.3007748,6
1179.825671,-636.467565,6
1196.675523,-492.09742520000003,6
1203.0538689999998,-634.551058,1
1204.1142810000001,-650.9725495,1
1206.316123,-535.9241298999999,6
1209.880219,-577.1044209,6
1209.968746,-521.0464223,6
1211.827146,-500.1786448,6
1220.399974,-556.4589687999999,6
1219.268683,-508.61045139999993,6
1221.216545,-483.3151302,6
1228.959111,-593.6839824,6
1234.398229,-605.2054659,6
1235.643536,-512.4964835,6
1244.853002,-630.3899239,5
1245.299833,-520.6713950000001,6
1249.4832609999999,-485.7287009,6
1250.608851,-576.2040599,5
1258.256466,-586.2841856000001,5
1260.566566,-663.1451030000001,1
1268.735817,-500.0611335,6
1279.755749,-545.6606426,1
1279.734293,-536.1009774,1
1282.5221800000002,-588.636359,6
1284.3246359999998,-521.7933071,1
1287.612593,-611.1844071,6
1287.017018,-572.2497553999999,4
1294.829705,-660.3711271000001,6
1296.456746,-532.6569772,6
1300.790933,-489.397798,4
1308.84183,-578.8419471,4
1307.9898,-526.0352576,6
1312.129105,-626.3661913999999,6
