X,Y,mclust
2946.23265306122,1139.74693877551,2
4971.02083333333,1431.45833333333,1
1464.78666666667,1708.52,4
2824.91954022989,2091.64750957854,2
5805.21428571429,2871.60714285714,2
1845.43362831858,4207.93805309734,1
4161.04347826087,2237.49565217391,2
5171.8389261745,4506.51677852349,4
4482.4966442953,3481.45637583893,2
3563.78873239437,657.760563380282,2
2613.93119266055,2342.3119266055,1
2306.04575163399,2095.29411764706,2
1412.84328358209,1526.0671641791,2
5215.8875739645,2647.63313609467,4
5354.95454545455,1445.21022727273,2
4660.71497584541,2224.68599033816,2
3690.9375,3850.71875,2
1815.04117647059,1400.34705882353,1
3516.85321100917,808.623853211009,2
3816.85496183206,4507.87022900763,2
2352.5253164557,2543.04430379747,2
5590.35087719298,1775.94736842105,2
4664.73831775701,1590.16822429907,2
4509.87022900763,4022.34351145038,2
2763.79856115108,1424.71942446043,2
4667.60305343511,1775.39694656489,2
2851.50980392157,1288.52941176471,2
2896.82589285714,1143.51785714286,2
5091.30158730159,2833.31746031746,2
1357.52336448598,1899.02803738318,4
5215.27835051546,1389.58762886598,4
5739.52941176471,3469.91176470588,2
2826.968,1871.248,2
1557.57021276596,2570.73191489362,2
3730.17307692308,4640.07692307692,2
2913.1811023622,3454.1968503937,1
3938.83098591549,4421.37676056338,1
5490.992,3624.46,2
2628.07692307692,4126.45054945055,1
5768.28455284553,2845.63414634146,2
4097.7619047619,2151.34693877551,2
3015.96323529412,3478.32352941176,2
4605.85217391304,879.452173913043,2
4580.78695652174,2796.7652173913,2
1713.72164948454,2685.83505154639,2
4438.90291262136,2325.04854368932,2
4031.27329192547,4508.42857142857,1
1748.2125,4163.4125,1
2715.575,2579.55,2
5320.01298701299,4180.33116883117,2
3302.40186915888,3140.84112149533,2
2787.26486486486,1126.23783783784,2
2266.61194029851,1278.17164179104,2
4945.50943396226,3358.91194968553,2
5895.91891891892,3362.31756756757,4
3975.05825242718,3714.16019417476,2
1720.73529411765,1522.20588235294,2
3706.05699481865,3726.26424870466,2
1369.98026315789,2025.53947368421,4
4491.10169491525,4116.35169491525,1
3627.24761904762,1832.41904761905,2
4340.34375,3480.50625,2
4331.89705882353,3798.11029411765,4
4893.44230769231,1375.75,2
3208.70085470085,4267.82905982906,2
3566.51824817518,3026.56204379562,2
5133.49132947977,3849.47398843931,2
4782.94736842105,3099.30827067669,2
4947.12543554007,3410.70383275261,2
4910.1052631579,3140.67368421053,2
3891.44933920705,803.625550660793,1
5054.41007194245,2620.36690647482,2
5126.34586466165,3037.15037593985,2
2782.86813186813,4350.76373626374,1
4740.2,2372.70769230769,2
4293.765625,2136.5234375,2
4335.6690647482,3980.27338129496,1
4419.99242424242,3421.61363636364,2
3058.86170212766,2629.04787234043,2
2415.875,3116.35833333333,2
3079.25592417062,1929.39336492891,2
4082.38043478261,4036.64673913044,2
5145.11428571429,4313.7,2
4783.46987951807,1889.69879518072,1
4307.49504950495,3888.90099009901,2
4721.66494845361,2433.96907216495,2
4502.25,3179.78985507246,2
4845.65306122449,1603.53741496599,2
2039.84745762712,4263.93220338983,4
3387.09574468085,3450.59574468085,2
3451.90849673203,1243.18300653595,1
4838.61111111111,1220.53888888889,2
3551.23463687151,3864.03351955307,2
3690.06451612903,1340.87903225806,2
4162.0,4570.8021978022,2
2741.32065217391,3593.60326086957,2
3209.14545454545,2132.06363636364,2
4197.70238095238,2017.65476190476,2
5199.01877934272,1510.30046948357,1
4304.83333333333,1446.80158730159,2
4723.77777777778,768.243386243386,2
4937.38620689655,3964.53793103448,2
2546.55555555556,4424.28571428571,3
4738.27619047619,1985.51428571429,1
3215.05,2466.9,1
4590.37209302326,3455.77906976744,2
4704.05,1761.47857142857,2
5481.14876033058,3826.80165289256,1
1538.42592592593,1374.97222222222,2
3729.9756097561,2574.64634146341,2
3873.98611111111,3678.30555555556,2
3249.04545454545,814.409090909091,2
2701.63503649635,1405.53284671533,2
1893.2,3885.75714285714,2
3716.91194968553,1601.47798742138,2
4200.22751322751,4333.68253968254,2
3208.53571428571,1057.58928571429,2
5092.49367088608,4320.75949367089,2
4010.07614213198,3853.33502538071,2
5764.54385964912,1711.59649122807,4
4490.90196078431,4467.95424836601,2
1771.5652173913,1640.40217391304,2
4925.85714285714,3131.86956521739,2
1867.31343283582,2183.91044776119,2
2979.67942583732,2620.94736842105,2
2754.7731092437,573.09243697479,2
2720.18253968254,3201.57936507937,2
2158.4,1415.90833333333,1
3594.72189349112,4000.52071005917,2
4065.89,4071.76,2
2698.80597014925,3330.20895522388,2
2772.58636363636,2094.96818181818,2
4682.20652173913,728.652173913044,2
3638.58219178082,2080.45205479452,2
5274.62721893491,3540.72189349112,2
3123.39548022599,1486.78531073446,2
3321.5625,3283.89583333333,2
4711.62162162162,1470.94594594595,2
4154.0,1653.9693877551,2
3062.81196581197,1715.92307692308,2
4524.62295081967,2991.08743169399,2
4911.64912280702,1638.31578947368,2
3400.73762376238,2593.55940594059,2
2141.59393939394,3962.35757575758,2
5353.7027027027,2009.22072072072,2
3239.44642857143,4152.42857142857,2
1997.40930232558,2470.02325581395,2
4464.4025974026,3111.13852813853,2
4076.96774193548,1363.14838709677,2
3644.37096774194,413.411290322581,2
2305.16666666667,1812.57407407407,2
5169.31097560976,1117.80487804878,2
2338.07741935484,2930.73548387097,2
5290.18181818182,3067.04195804196,1
4317.77272727273,1319.17613636364,2
2172.5,2475.125,2
4600.29473684211,850.515789473684,3
1679.94,2883.89,2
2930.7,1788.25882352941,2
4055.16517857143,2270.51339285714,1
3255.55445544554,771.445544554455,2
4163.24242424242,1156.43434343434,2
4292.82142857143,3589.76785714286,2
5176.18620689655,2824.70344827586,2
4851.8253968254,3622.04761904762,2
3146.70652173913,1555.13043478261,1
3316.74778761062,1427.33185840708,2
2092.97810218978,3303.58394160584,2
4491.05825242718,703.708737864078,1
4119.80357142857,3848.10119047619,2
3476.08974358974,4588.29487179487,2
4101.14432989691,1578.79381443299,2
1538.8813559322,3330.50847457627,3
5133.49404761905,1277.27976190476,2
2065.16101694915,3841.57627118644,2
4492.24615384615,1347.43076923077,2
5065.59183673469,2990.67346938776,2
3905.42635658915,2147.42635658915,2
4653.64761904762,2370.28571428571,2
1705.85853658537,1358.1756097561,2
2463.59090909091,2792.11038961039,2
5053.83233532934,881.449101796407,2
2315.19565217391,3341.81304347826,3
3800.22988505747,1929.16091954023,2
4153.8679245283,957.61320754717,1
3451.0,3617.45257452575,2
4381.52845528455,601.634146341463,2
2626.10447761194,3101.74029850746,2
2292.43636363636,4073.11818181818,1
1637.85454545455,1836.32727272727,2
2500.98630136986,2810.79452054795,2
4798.61146496815,3916.30573248408,2
2558.87356321839,3925.3908045977,2
2480.20283018868,1038.23113207547,1
5655.53488372093,2079.39534883721,2
2491.83870967742,1265.85483870968,2
3034.72142857143,818.714285714286,1
2019.54838709677,2585.30107526882,2
3055.93906810036,4050.38709677419,2
5800.3358778626,1945.30534351145,2
4534.03418803419,407.931623931624,2
1885.71428571429,4141.61607142857,1
3804.5,1298.57692307692,2
2270.05263157895,2472.07518796992,1
1721.76576576577,2010.65765765766,3
5426.74264705882,1946.30882352941,2
3458.93023255814,1074.8488372093,2
4712.47972972973,1433.91891891892,2
4305.8829787234,1229.54787234043,2
5144.6375,2794.7875,2
2999.32191780822,4459.01369863014,1
4037.42105263158,2885.85789473684,2
4895.48913043478,1924.64130434783,2
3560.2,3005.51304347826,2
4053.94814814815,3166.17037037037,2
4314.71856287425,3425.35329341317,2
5518.52631578947,3185.24561403509,2
4528.92125984252,4267.07480314961,1
3093.02941176471,1469.01470588235,2
2808.03007518797,3894.50751879699,2
4383.04142011834,3764.76923076923,4
5194.04807692308,2801.77884615385,4
2966.53953488372,760.562790697674,1
3421.97101449275,2066.72463768116,2
2894.54545454545,2909.79090909091,2
5520.54166666667,3360.15625,3
2774.33734939759,1147.25301204819,2
4922.46385542169,1905.03012048193,2
4721.13669064748,1964.13669064748,1
1948.29523809524,2865.54285714286,2
3930.38095238095,2921.42328042328,2
3121.40963855422,2364.00602409639,2
5654.02521008403,2369.73109243697,4
4828.68131868132,1403.21978021978,2
3437.27,524.58,2
2860.14166666667,738.166666666667,2
2918.59310344828,1701.6,2
3304.74117647059,3478.08235294118,2
3169.5069124424,4563.64976958525,2
2805.47972972973,2609.89189189189,2
4436.64233576642,1078.56934306569,2
5223.88524590164,3245.18032786885,2
1711.36231884058,4191.39130434783,2
2809.04444444444,4286.2,1
2959.97959183673,3667.15102040816,2
1603.41584158416,2298.34653465347,1
2480.57692307692,2603.39423076923,2
3827.93292682927,1047.42073170732,1
4629.72222222222,2197.34027777778,1
3565.19078947368,2303.09210526316,2
3648.58659217877,1657.99441340782,1
5581.65137614679,1908.88990825688,2
4932.95402298851,2483.58045977011,2
3728.40888888889,1287.77333333333,2
3227.25,1864.84259259259,2
4066.83333333333,3776.37962962963,2
3080.76744186047,3530.59302325581,2
3219.35593220339,716.35593220339,2
1871.87356321839,4063.45977011494,1
3782.78095238095,2416.2,2
3656.39344262295,3461.0,2
3975.40804597701,1242.22413793103,2
4721.79611650485,1820.70873786408,2
4452.13461538462,4306.82051282051,2
2576.08474576271,3732.9406779661,2
3153.0,462.116129032258,1
3871.34444444444,479.0,2
2442.94444444444,552.534722222222,2
3862.39682539683,761.507936507937,1
5623.25,2594.98113207547,2
1945.22815533981,3526.27184466019,1
2809.87058823529,4251.38823529412,2
3451.58288770053,3116.60427807487,2
4252.74301675978,2923.24022346369,2
5385.65656565657,2266.17171717172,2
1548.63063063063,3634.18918918919,1
4477.5572519084,3688.67938931298,2
3200.30588235294,2494.24117647059,2
3049.35761589404,2898.10927152318,2
4311.04932735426,3847.98206278027,2
2041.17829457364,3263.48837209302,2
4969.54430379747,1635.74683544304,1
2469.15454545455,1389.89545454545,2
4616.29743589744,2070.53333333333,1
3616.96089385475,4322.44134078212,1
3883.17391304348,3137.06211180124,2
4570.46315789474,2478.94210526316,2
1819.88020833333,4013.671875,1
4928.66853932584,3240.44943820225,2
2154.09316770186,664.95652173913,3
3596.02525252525,1370.97474747475,1
3465.16847826087,3643.78804347826,2
4287.125,3753.39705882353,2
2966.01176470588,2192.51176470588,2
2011.69512195122,2225.67682926829,1
4924.05263157895,2287.21052631579,2
3666.80985915493,307.056338028169,2
5479.11320754717,2024.49056603774,4
1842.28205128205,977.801282051282,2
5363.91240875912,3884.36496350365,2
5078.80582524272,3707.63106796117,2
5560.4,1754.98888888889,2
2620.2967032967,1353.53846153846,2
5700.68681318681,2306.54395604396,3
3086.3640776699,3681.22815533981,2
4993.61038961039,4154.4632034632,2
2329.68965517241,4287.37931034483,1
2611.11009174312,1891.94495412844,2
4002.04294478528,2256.8773006135,1
3130.44755244755,2417.62237762238,2
3374.50267379679,2180.60427807487,2
4214.6577181208,4213.63087248322,1
3670.28776978417,831.007194244604,2
3307.20625,1472.59375,2
4653.09230769231,3047.46923076923,2
2498.33576642336,2254.86861313869,2
2497.43269230769,1314.77884615385,2
2836.14960629921,3775.42519685039,2
3569.52564102564,4057.78205128205,2
3602.25806451613,1692.98924731183,2
4305.95973154362,2523.21476510067,2
3297.07692307692,4470.23076923077,1
4098.20168067227,2202.28571428571,2
3765.44,1492.6,2
4286.10769230769,2227.16923076923,2
3883.30681818182,3631.25568181818,2
2424.95327102804,3790.18224299065,1
5368.36363636364,1578.28671328671,2
3000.9527027027,865.364864864865,2
1679.4854368932,1380.71844660194,2
2900.28333333333,2278.43333333333,2
2223.24482758621,3417.04137931034,3
3982.31050228311,4403.59817351598,1
5019.87218045113,3404.42857142857,2
2838.79245283019,3908.33490566038,2
5514.61739130435,3441.93913043478,3
4609.08888888889,782.144444444444,3
1437.03883495146,3470.38834951456,2
5131.17934782609,2316.74456521739,2
4932.01785714286,925.8125,2
4638.31730769231,628.423076923077,2
2322.13541666667,2271.16666666667,2
1917.06976744186,2054.29457364341,2
5152.5,4500.64285714286,4
5345.22580645161,1937.01612903226,2
3567.42857142857,3132.73701298701,2
4277.8375,2453.21875,2
4353.81294964029,4058.61870503597,1
3487.40458015267,3790.90076335878,2
4550.18918918919,3976.88108108108,2
2795.41317365269,2166.73652694611,2
3321.68309859155,2794.71126760563,2
2809.34782608696,2731.34782608696,2
5395.36585365854,1617.62601626016,2
2124.48936170213,2265.78723404255,1
5207.47368421053,1577.52631578947,1
2500.10638297872,4379.01063829787,2
3274.14583333333,1474.92916666667,2
2814.62857142857,3076.3,2
4731.43636363636,3872.8,1
1766.75,3947.02941176471,1
5544.79787234043,1589.31914893617,1
1840.35922330097,2408.05825242718,2
4334.54285714286,3854.48571428571,4
4403.41420118343,4102.68639053254,2
5429.37086092715,3270.01986754967,2
4278.15384615385,1239.05769230769,2
2333.56,2085.93333333333,2
3479.89595375723,1260.34682080925,1
