mclust,x,y
3,2946.23265306122,1139.74693877551
1,4971.020833333329,1431.45833333333
1,1464.7866666666698,1708.52
3,2824.91954022989,2091.64750957854
1,5805.21428571429,2871.60714285714
1,1845.43362831858,4207.93805309734
1,4161.04347826087,2237.49565217391
1,5171.838926174501,4506.51677852349
4,4482.4966442953,3481.45637583893
1,3563.78873239437,657.760563380282
1,2613.93119266055,2342.3119266055
2,2306.0457516339898,2095.2941176470604
3,1412.8432835820902,1526.0671641791
1,5215.8875739645,2647.6331360946697
2,5354.9545454545505,1445.2102272727302
1,4660.71497584541,2224.68599033816
1,3690.9375,3850.71875
1,1815.04117647059,1400.34705882353
3,3516.85321100917,808.6238532110091
2,3816.85496183206,4507.870229007629
2,2352.5253164557002,2543.0443037974696
3,5590.35087719298,1775.9473684210502
3,4664.73831775701,1590.1682242990698
2,4509.870229007629,4022.3435114503795
1,2763.7985611510803,1424.71942446043
3,4667.60305343511,1775.3969465648897
1,2851.50980392157,1288.52941176471
3,2896.82589285714,1143.51785714286
1,5091.30158730159,2833.3174603174602
1,1357.52336448598,1899.02803738318
2,5215.27835051546,1389.5876288659802
1,5739.529411764711,3469.91176470588
1,2826.968,1871.2479999999998
2,1557.5702127659602,2570.73191489362
3,3730.17307692308,4640.07692307692
1,2913.1811023622,3454.1968503937
1,3938.83098591549,4421.376760563379
1,5490.991999999999,3624.46
1,2628.0769230769197,4126.45054945055
1,5768.28455284553,2845.63414634146
2,4097.7619047619,2151.3469387755104
1,3015.96323529412,3478.3235294117603
2,4605.852173913039,879.4521739130431
1,4580.78695652174,2796.7652173913
3,1713.7216494845402,2685.83505154639
1,4438.90291262136,2325.04854368932
2,4031.2732919254704,4508.428571428571
1,1748.2125,4163.4125
4,2715.575,2579.55
3,5320.01298701299,4180.33116883117
1,3302.40186915888,3140.8411214953303
3,2787.26486486486,1126.23783783784
1,2266.61194029851,1278.17164179104
4,4945.50943396226,3358.9119496855296
1,5895.918918918921,3362.31756756757
1,3975.0582524271795,3714.16019417476
2,1720.7352941176503,1522.20588235294
1,3706.05699481865,3726.26424870466
1,1369.98026315789,2025.5394736842102
1,4491.10169491525,4116.35169491525
4,3627.2476190476204,1832.41904761905
4,4340.34375,3480.50625
2,4331.89705882353,3798.11029411765
1,4893.44230769231,1375.75
1,3208.7008547008504,4267.8290598290605
4,3566.5182481751795,3026.56204379562
4,5133.491329479771,3849.4739884393102
1,4782.94736842105,3099.30827067669
4,4947.125435540071,3410.7038327526097
1,4910.1052631579,3140.6736842105297
1,3891.4493392070503,803.625550660793
4,5054.41007194245,2620.36690647482
1,5126.34586466165,3037.1503759398497
1,2782.8681318681297,4350.76373626374
4,4740.2,2372.7076923076897
2,4293.765625,2136.5234375
1,4335.6690647482,3980.2733812949605
4,4419.99242424242,3421.61363636364
1,3058.86170212766,2629.04787234043
2,2415.875,3116.35833333333
1,3079.25592417062,1929.3933649289102
1,4082.38043478261,4036.64673913044
3,5145.1142857142895,4313.7
1,4783.46987951807,1889.6987951807198
1,4307.49504950495,3888.90099009901
1,4721.66494845361,2433.96907216495
4,4502.25,3179.7898550724603
2,4845.65306122449,1603.53741496599
1,2039.84745762712,4263.93220338983
4,3387.09574468085,3450.59574468085
1,3451.90849673203,1243.18300653595
3,4838.61111111111,1220.5388888888901
4,3551.23463687151,3864.03351955307
2,3690.0645161290295,1340.87903225806
3,4162.0,4570.8021978022
1,2741.3206521739103,3593.6032608695705
3,3209.14545454545,2132.06363636364
3,4197.70238095238,2017.65476190476
1,5199.01877934272,1510.30046948357
3,4304.833333333329,1446.80158730159
3,4723.777777777779,768.2433862433859
4,4937.38620689655,3964.53793103448
1,2546.55555555556,4424.28571428571
1,4738.276190476189,1985.5142857142898
1,3215.05,2466.9
4,4590.37209302326,3455.7790697674395
3,4704.05,1761.47857142857
2,5481.1487603305795,3826.8016528925605
3,1538.4259259259302,1374.97222222222
4,3729.9756097561,2574.64634146341
1,3873.9861111111104,3678.30555555556
1,3249.04545454545,814.409090909091
1,2701.63503649635,1405.5328467153302
1,1893.2,3885.75714285714
1,3716.9119496855296,1601.47798742138
1,4200.227513227511,4333.68253968254
1,3208.5357142857106,1057.58928571429
1,5092.49367088608,4320.75949367089
1,4010.07614213198,3853.3350253807102
3,5764.543859649119,1711.5964912280701
2,4490.90196078431,4467.95424836601
3,1771.5652173913,1640.40217391304
1,4925.8571428571395,3131.86956521739
1,1867.31343283582,2183.91044776119
4,2979.6794258373197,2620.94736842105
1,2754.7731092436998,573.0924369747901
1,2720.1825396825398,3201.5793650793703
1,2158.4,1415.9083333333301
1,3594.7218934911207,4000.5207100591706
1,4065.89,4071.76
1,2698.80597014925,3330.20895522388
2,2772.5863636363597,2094.96818181818
3,4682.20652173913,728.652173913044
4,3638.5821917808203,2080.45205479452
3,5274.62721893491,3540.7218934911207
1,3123.39548022599,1486.78531073446
1,3321.5625,3283.8958333333303
2,4711.621621621621,1470.94594594595
3,4154.0,1653.9693877551001
3,3062.8119658119704,1715.92307692308
1,4524.62295081967,2991.08743169399
1,4911.64912280702,1638.31578947368
4,3400.7376237623803,2593.55940594059
1,2141.5939393939398,3962.35757575758
1,5353.7027027027,2009.22072072072
1,3239.4464285714303,4152.428571428571
2,1997.40930232558,2470.02325581395
4,4464.4025974026,3111.13852813853
3,4076.96774193548,1363.14838709677
1,3644.3709677419397,413.411290322581
3,2305.1666666666697,1812.5740740740698
1,5169.31097560976,1117.80487804878
3,2338.07741935484,2930.73548387097
1,5290.18181818182,3067.0419580419602
3,4317.77272727273,1319.17613636364
2,2172.5,2475.125
2,4600.29473684211,850.515789473684
1,1679.94,2883.89
3,2930.7,1788.2588235294102
1,4055.1651785714294,2270.51339285714
1,3255.5544554455396,771.445544554455
2,4163.24242424242,1156.43434343434
4,4292.821428571429,3589.76785714286
4,5176.18620689655,2824.70344827586
4,4851.825396825399,3622.04761904762
1,3146.70652173913,1555.1304347826099
4,3316.74778761062,1427.33185840708
3,2092.9781021897797,3303.5839416058398
1,4491.0582524271795,703.7087378640781
1,4119.803571428571,3848.1011904761895
2,3476.08974358974,4588.29487179487
1,4101.144329896911,1578.79381443299
2,1538.8813559322,3330.50847457627
1,5133.49404761905,1277.2797619047599
1,2065.16101694915,3841.57627118644
3,4492.24615384615,1347.43076923077
1,5065.59183673469,2990.67346938776
